DETID,SRCID,OBS_ID,EP_8_FLUX,EP_8_FLUX_ERR,SC_RA,SC_DEC,SC_POSERR
101110903010001,201110903010001,XMM 0111090301,1.4037108e-11,7.7669235e-13,225.55800092184,-42.137491930183,1.9528928
105026704010012,205026704010012,XMM 0502670401,5.4806368e-11,6.844969e-12,233.6618232123,-83.674853675609,2.6170208
105026704010020,205026704010020,XMM 0502670401,1.0374123e-11,1.7960483e-12,234.57953559553,-83.605270413657,5.7988014
105026704010001,205026704010001,XMM 0502670401,2.0160103e-11,9.922779e-13,234.89759045042948,-83.58885092781318,1.1190816
102040503010009,202040503010009,XMM 0204050301,3.854348e-11,1.1058089e-11,238.84903023129,35.370224030197,8.547433
102040503010012,202040503010012,XMM 0204050301,3.368048e-11,1.6805017e-11,238.85112689376,35.42832048853,6.925222
102040503010029,202040503010029,XMM 0204050301,2.4418667e-11,1.0635838e-11,238.85910586355996,35.394544650673,6.6262836
102040503010017,202040503010017,XMM 0204050301,1.4936314e-11,2.9107827e-12,239.33782145982,35.439623054391,8.357571
106944401010001,206944401010001,XMM 0694440101,2.2105977e-11,1.9733785e-12,239.55709409283,27.258885294686,1.5879362
101118703010001,201118701010001,XMM 0111870301,1.4103512e-11,6.3166123e-13,239.62233024875846,27.287267015344856,0.27286363
100597503010015,200597503010015,XMM 0059750301,1.4039814e-11,3.511936e-12,242.01218501186,54.90492191276701,5.2117395
100597501010014,200597501010014,XMM 0059750101,1.1320851e-11,7.147632e-12,242.18484757546997,54.61465574941499,19.703264
100597501010008,200597501010008,XMM 0059750101,2.398971e-11,2.0995918e-12,242.3633958826,54.456917669452004,19.190199
100597501010013,200597501010013,XMM 0059750101,1.3834949e-11,3.7730956e-12,242.56164807437,54.738879889839005,2.8617747
101436511010016,201436511010016,XMM 0143651101,1.0525778e-11,4.8996076e-12,244.12744754388,35.107140078336,2.2812924
108239909010013,208239909010013,XMM 0823990901,2.8123373e-11,2.6171081e-12,248.46828777584,-47.312708138975,1.8418708
108239909010001,208239909010001,XMM 0823990901,6.7924977e-09,5.7718873e-12,248.50660615037003,-47.39315339793,0.899834
108239909010009,208239909010009,XMM 0823990901,1.052404e-11,6.234628e-13,248.54216849346,-47.300592368203,1.0663524
101054701010001,201054701010001,XMM 0105470101,2.847869e-09,2.0061114e-12,250.2311147732616,-53.75107043839616,0.47628972
106783801010001,206584007010001,XMM 0678380101,7.002636e-11,2.1248017e-13,251.2078656157395,57.5832941987631,0.16384079
103003203010012,203003203010012,XMM 0300320301,2.7929945e-11,1.5391957e-11,251.87151070751,64.327042027589,20.0
101539504010013,201539504010013,XMM 0153950401,1.5844725e-11,5.6557792e-12,254.48500103524,35.425833208082,2.2156084
108052004010002,208052004010002,XMM 0805200401,4.527066e-11,5.414543e-13,254.55750015144002,-42.698416084717,1.9004211
100935627010007,200935627010007,XMM 0093562701,1.7971813e-11,2.3281858e-12,255.55931607263932,-48.82227411504099,3.330848
101113605010001,201113605010001,XMM 0111360501,2.1285439e-11,7.605556e-13,255.69236284584,-48.788102056647,1.9352198
101113602010005,201113602010005,XMM 0111360201,3.0074488e-11,3.1974963e-12,255.74816951439,-48.784030791057,2.535454
101054705010001,201054702010001,XMM 0105470501,5.3032014e-09,5.214117e-12,257.22644013222,-44.1023267262301,0.65687937
101355204010019,201355204010019,XMM 0135520401,1.2010645e-11,6.976139e-13,257.94191265333006,-38.095608026333004,1.9880033
105106101010001,200992801010001,XMM 0510610101,3.3626799e-10,4.946528e-13,166.113603675929,38.20882474698044,0.07603922
108511801010007,208511801010007,XMM 0851180101,1.8585536e-11,5.319188e-13,262.20235866356995,-36.259158410711,1.9313682
107234105010011,207234105010011,XMM 0723410501,4.9160336e-11,2.0407103e-12,266.20838753226,-28.833775513591,1.9431515
107234103010008,207234103010008,XMM 0723410301,1.1675814e-10,5.666136e-12,266.20982506570215,-28.826480071447254,0.97256994
107483912010002,207483912010002,XMM 0748391201,1.6313284e-11,4.46646e-13,266.28973983971,-30.394450744544997,0.7288671
107901804010004,207901804010004,XMM 0790180401,9.7028996e-11,1.7594313e-12,266.41526284358,-29.017782867554,0.8191119
107901804010007,207234104010062,XMM 0790180401,2.3984311e-11,4.697758e-13,266.43099864174843,-28.983458882910966,0.47408047
107901804010005,207901804010005,XMM 0790180401,1.0486095e-11,2.497703e-13,266.43164585376996,-29.013188040687997,1.0104324
106946411010001,201129704010001,XMM 0694641101,2.590135e-10,1.1596695e-12,266.5877710704451,-28.728692295732554,0.119882464
107441702010001,207441702010001,XMM 0744170201,3.2059987e-11,2.731103e-13,267.02439505128,-24.780146371806,0.5563912
107483913010004,207483913010004,XMM 0748391301,1.2706504e-11,7.041734e-13,267.21625110569,-20.452014762672,2.0840101
104101801010001,204101801010001,XMM 0410180101,4.292513e-10,8.606889e-13,267.55486144158147,-6.7079019606380275,0.1720474
108052002010006,208112134010028,XMM 0805200201,1.644193e-11,8.24021e-13,254.67981692153825,-42.704628672315756,2.241472
101547506010001,201480901010010,XMM 0154750601,2.9090275e-11,8.024421e-13,268.60530682287424,-26.331279642463464,0.13121508
107957501010001,207957501010001,XMM 0795750101,1.7011001e-10,5.0866115e-13,269.76170176115,-23.719021980261,0.7387424
104006401010003,204006401010003,XMM 0400640101,4.895547e-10,4.143947e-12,270.39090779038,-20.52320167243,1.9226207
102063806010021,202063806010021,XMM 0206380601,2.4982641e-11,1.3638237e-12,270.47529824651,-20.372441990538,2.0548253
107416202010002,207416202010002,XMM 0741620201,8.094907e-11,1.2740327e-12,271.04149002293,-34.347882388518,1.0480702
105031703010042,205031703010042,XMM 0503170301,1.1814088e-11,7.86594e-13,271.15181666505,-21.419398289555996,2.9863832
104057502010007,204057502010007,XMM 0405750201,1.1015705e-11,2.5343011e-12,271.1796834980536,-21.469715156327535,1.020633
101223409010001,201223401015003,XMM 0122340901,2.8705578e-09,9.713149e-12,273.62936010093,-17.161783507927137,0.38943806
101223410010001,201223401015003,XMM 0122341001,2.4440117e-09,1.0754831e-11,273.62936010093,-17.161783507927137,0.38943806
108028202010005,201223401015003,XMM 0802820201,4.699064e-11,3.8356755e-13,273.62936010093,-17.161783507927137,0.38943806
101223401010003,201223401010003,XMM 0122340101,4.1276572e-11,1.2260133e-12,273.63165873642026,-17.149856496647033,0.49174798
106539104010018,206539104010018,XMM 0653910401,2.3286734e-11,1.2246683e-12,274.01903527594,-14.133701841529,2.0679948
100841102010001,200841102010001,XMM 0084110201,4.4238506e-09,7.632422e-12,275.9190778526967,-30.367565071240172,0.6382647
105513402010006,205513402010006,XMM 0551340201,1.0806986e-11,1.0074799e-13,275.93416788056,-30.363552951359,0.6823676
105513402010005,205513402010005,XMM 0551340201,3.9435163e-11,2.2707644e-13,275.93570951514994,-30.356876071849,0.68149847
108215602010001,208215602010001,XMM 0821560201,2.0836426e-10,2.5165728e-13,277.68038224741997,-24.018940177915997,0.30174398
107483917010005,207483917010005,XMM 0748391701,5.5247404e-11,1.3437178e-12,279.98671754956,4.9972686629305,1.989614
108511811010046,208511811010046,XMM 0851181101,1.2605982e-11,1.0358473e-12,282.26139804112,-2.9765763187982,4.305024
101440901010015,201440901010015,XMM 0144090101,1.213168e-11,9.860885e-13,288.83483620317,10.780660624777,3.5247078
101119702010014,201119702010014,XMM 0111970201,1.2610113e-11,3.4845635e-12,297.01953621357,77.853258775571,5.1041355
107931830010014,207931830010014,XMM 0793183001,1.580766e-11,4.8219454e-12,308.08144681639,41.212102254844005,1.1151832
105051103010012,205051103010012,XMM 0505110301,1.7219871e-10,5.2626805e-12,308.17373012471006,41.076104071625,1.9401441
102004505010014,202004505010014,XMM 0200450501,2.729284e-11,9.576792e-13,308.21107952043997,41.101016387071,1.5005375
107418201010039,207418201010039,XMM 0741820101,2.0755928e-11,1.0003973e-13,313.78065304708997,32.182385970836,1.9011906
101639605010002,201639605010002,XMM 0163960501,4.8050272e-11,3.0330014e-12,254.44899991319,35.360902331107,3.154903
101341201010003,201341201010003,XMM 0134120101,3.05536e-11,6.975688e-13,254.4574207652332,35.34244280495033,0.07315028
105504520010045,205504520010045,XMM 0550452001,1.9361329e-11,4.525487e-12,317.89879976590004,82.312475721319,15.013351
101113601010003,201113601010003,XMM 0111360101,7.136379e-11,5.4953156e-13,326.16181285758,38.322445354457,1.9001675
104017004010001,204017002010001,XMM 0401700401,4.494204e-11,6.7946647e-13,343.4906327261481,16.148225856857017,0.13578054
102019032010036,202019032010036,XMM 0201903201,4.7625043e-11,1.1710711e-11,349.82994168038,-73.489933712358,12.478358
106504504010001,200976105015001,XMM 0650450401,1.1873995e-09,4.2082356e-13,350.84621115371044,58.8390907952191,0.42491108
104002101010015,200976105010021,XMM 0400210101,1.0221349e-10,3.5289792e-12,350.84919448137924,58.79454566663259,0.81567305
100976105010005,200976105010005,XMM 0097610501,9.00748e-11,4.1212533e-13,350.9104458628125,58.82991155997118,0.46469295
106048703460001,206048703460001,XMM 0604870346,2.770129e-11,4.103407e-13,356.07993835885,-54.434545789813995,0.95066595
106505919010025,206505919010025,XMM 0650591901,1.0959007e-11,1.64413e-12,358.07834809061006,59.00096192315801,5.393175
107939804015006,201223308010020,XMM 0793980401,1.727632e-11,1.0530643e-12,83.65731549946591,22.110854667676524,0.52204555
107931829015002,207931829015002,XMM 0793182901,1.5131164e-10,5.872216e-13,13.025016269196,-72.433921783375,0.41124198
105051103010040,205051103010040,XMM 0505110301,1.3288785e-11,8.996374e-13,308.1342652566,41.103836120752,1.9790076
106111811015029,201223308010038,XMM 0611181101,1.1617405e-11,4.677622e-12,83.68974464524341,22.10840752338318,0.5376284
104006401010031,204006401010031,XMM 0400640101,1.8945578e-11,3.557521e-13,270.38453442427,-20.618349200353,1.9041641
103127904015019,201223308010027,XMM 0312790401,1.1865578e-10,8.072196e-12,83.73489333147705,22.029013912924338,0.30897835
101113601010035,201113601010035,XMM 0111360101,2.0062249e-11,4.127584e-13,326.11755186791993,38.40488666886699,1.9101886
106504502015017,201100118010025,XMM 0650450201,4.8570536e-11,1.2594133e-13,350.81475963445075,58.81097112809273,1.184854
104006401010028,204006401010028,XMM 0400640101,2.411625e-11,3.5176864e-13,270.38456761598,-20.583949246939,1.9022131
101653604010006,201653601015006,XMM 0165360401,3.0704987e-11,2.0965733e-12,308.1550955912369,40.9323952724805,0.8676732
101110301010007,201110301010007,XMM 0111030101,1.4268461e-11,9.591146e-13,135.5020002616,-40.551414254332,1.17841
103127902010019,203127902010019,XMM 0312790201,3.7658855e-11,9.1123e-12,83.57612282299299,21.966916611218,11.0476885
103127903015011,201223308010050,XMM 0312790301,2.669925e-11,2.0164623e-12,83.63884990723568,21.857153813764523,0.32688582
106567810010003,206567810010003,XMM 0656781001,2.32536e-11,2.2203883e-13,89.196958145504,-33.16936116377399,0.87826246
106567810015001,206567810015001,XMM 0656781001,8.604053e-10,1.2308504e-12,89.19285723658211,-33.17405492480952,0.12031778
101501503015004,201501503015004,XMM 0150150301,7.277575e-11,1.2660188e-12,126.03175801604999,-42.959275846004,1.1832408
106111834010028,201223308010035,XMM 0611183401,2.3783512e-11,2.3424856e-12,83.57562921247433,22.106799932282115,0.3933678
